,date,Nelson,lagged
337,2020-02-29,575000.0,597500.0
338,2020-03-31,600000.0,575000.0
339,2020-04-30,645500.0,600000.0
340,2020-05-31,580000.0,645500.0
341,2020-06-30,600000.0,580000.0
342,2020-07-31,587000.0,600000.0
343,2020-08-31,592345.0,587000.0
344,2020-09-30,644165.0,592345.0
345,2020-10-31,641000.0,644165.0
346,2020-11-30,670000.0,641000.0
347,2020-12-31,675000.0,670000.0
348,2021-01-31,712500.0,675000.0
349,2021-02-28,690000.0,712500.0
350,2021-03-31,682000.0,690000.0
351,2021-04-30,735000.0,682000.0
352,2021-05-31,700750.0,735000.0
353,2021-06-30,691500.0,700750.0
354,2021-07-31,688000.0,691500.0
355,2021-08-31,660200.0,688000.0
356,2021-09-30,798000.0,660200.0
357,2021-10-31,750000.0,798000.0
358,2021-11-30,736000.0,750000.0
359,2021-12-31,809999.9999999999,736000.0
360,2022-01-31,755000.0,809999.9999999999
361,2022-02-28,812000.0,755000.0
362,2022-03-31,825000.0,812000.0
363,2022-04-30,765000.0,825000.0
364,2022-05-31,750000.0,765000.0
365,2022-06-30,785000.0,750000.0
366,2022-07-31,799999.9999999999,785000.0
367,2022-08-31,680000.0,799999.9999999999
368,2022-09-30,699000.0,680000.0
369,2022-10-31,772999.9999999999,699000.0
370,2022-11-30,700000.0,772999.9999999999
371,2022-12-31,690000.0,700000.0
372,2023-01-31,670000.0,690000.0
373,2023-02-28,685000.0,670000.0
374,2023-03-31,665000.0,685000.0
375,2023-04-30,720000.0,665000.0
376,2023-05-31,770000.0,720000.0
377,2023-06-30,650000.0,770000.0
378,2023-07-31,710000.0,650000.0
379,2023-08-31,695000.0,710000.0
380,2023-09-30,680000.0,695000.0
381,2023-10-31,670500.0,680000.0
382,2023-11-30,650000.0,670500.0
383,2023-12-31,710000.0,650000.0
384,2024-01-31,675000.0,710000.0
385,2024-02-29,732500.0,675000.0
386,2024-03-31,722000.0,732500.0
387,2024-04-30,705000.0,722000.0
388,2024-05-31,670000.0,705000.0
389,2024-06-30,648000.0,670000.0
390,2024-07-31,657000.0,648000.0
391,2024-08-31,693000.0,657000.0
