,date,Waikato,lagged
212,2009-09-30,310000.0,325000.0000000001
213,2009-10-31,325000.0000000001,310000.0
214,2009-11-30,318000.0000000001,325000.0000000001
215,2009-12-31,335000.0000000001,318000.0000000001
216,2010-01-31,320000.0,335000.0000000001
217,2010-02-28,320000.0,320000.0
218,2010-03-31,316000.0,320000.0
219,2010-04-30,310000.0,316000.0
220,2010-05-31,315000.0000000001,310000.0
221,2010-06-30,333000.0,315000.0000000001
222,2010-07-31,318000.0000000001,333000.0
223,2010-08-31,302500.0000000001,318000.0000000001
224,2010-09-30,315000.0000000001,302500.0000000001
225,2010-10-31,310000.0,315000.0000000001
226,2010-11-30,315000.0000000001,310000.0
227,2010-12-31,315000.0000000001,315000.0000000001
228,2011-01-31,315000.0000000001,315000.0000000001
229,2011-02-28,310000.0,315000.0000000001
230,2011-03-31,300000.0,310000.0
231,2011-04-30,310000.0,300000.0
232,2011-05-31,315000.0000000001,310000.0
233,2011-06-30,305000.0000000001,315000.0000000001
234,2011-07-31,305000.0000000001,305000.0000000001
235,2011-08-31,310000.0,305000.0000000001
236,2011-09-30,303000.0,310000.0
237,2011-10-31,306000.0000000001,303000.0
238,2011-11-30,305000.0000000001,306000.0000000001
239,2011-12-31,318000.0000000001,305000.0000000001
240,2012-01-31,297500.0000000001,318000.0000000001
241,2012-02-29,315000.0000000001,297500.0000000001
242,2012-03-31,307500.0,315000.0000000001
243,2012-04-30,307500.0,307500.0
244,2012-05-31,311000.0,307500.0
245,2012-06-30,325000.0000000001,311000.0
246,2012-07-31,299000.0,325000.0000000001
247,2012-08-31,310000.0,299000.0
248,2012-09-30,307500.0,310000.0
249,2012-10-31,312000.0000000001,307500.0
250,2012-11-30,323000.00000000023,312000.0000000001
251,2012-12-31,320000.0,323000.00000000023
252,2013-01-31,319000.0,320000.0
253,2013-02-28,315000.0000000001,319000.0
254,2013-03-31,325000.0000000001,315000.0000000001
255,2013-04-30,315000.0000000001,325000.0000000001
256,2013-05-31,310000.0,315000.0000000001
257,2013-06-30,310000.0,310000.0
258,2013-07-31,310000.0,310000.0
259,2013-08-31,315000.0000000001,310000.0
260,2013-09-30,328000.0000000001,315000.0000000001
261,2013-10-31,338700.00000000006,328000.0000000001
262,2013-11-30,343000.00000000006,338700.00000000006
263,2013-12-31,345000.0000000001,343000.00000000006
264,2014-01-31,337859.00000000006,345000.0000000001
265,2014-02-28,330000.0,337859.00000000006
266,2014-03-31,345750.0000000001,330000.0
267,2014-04-30,335000.0000000001,345750.0000000001
268,2014-05-31,325000.0000000001,335000.0000000001
269,2014-06-30,321500.0,325000.0000000001
270,2014-07-31,317500.00000000023,321500.0
271,2014-08-31,317000.0,317500.00000000023
272,2014-09-30,324600.0,317000.0
