,date,Gisborne,lagged
230,2011-03-31,221157.44349181608,241110.67809820728
231,2011-04-30,216169.13484021815,221157.44349181608
232,2011-05-31,241110.67809820728,216169.13484021815
233,2011-06-30,261063.91270459865,241110.67809820728
234,2011-07-31,206292.28371005465,261063.91270459865
235,2011-08-31,241110.67809820728,206292.28371005465
236,2011-09-30,221157.44349181608,241110.67809820728
237,2011-10-31,231134.06079501164,221157.44349181608
238,2011-11-30,243106.00155884644,231134.06079501164
239,2011-12-31,226145.75214341385,243106.00155884644
240,2012-01-31,213176.14964925943,226145.75214341385
241,2012-02-29,221157.44349181608,213176.14964925943
242,2012-03-31,241110.67809820728,221157.44349181608
243,2012-04-30,231134.06079501164,241110.67809820728
244,2012-05-31,201204.2088854247,231134.06079501164
245,2012-06-30,190728.76071706935,201204.2088854247
246,2012-07-31,191227.59158222907,190728.76071706935
247,2012-08-31,197213.5619641464,191227.59158222907
248,2012-09-30,228639.90646921276,197213.5619641464
249,2012-10-31,251087.29540140287,228639.90646921276
250,2012-11-30,237120.03117692907,251087.29540140287
251,2012-12-31,231134.06079501164,237120.03117692907
252,2013-01-31,275031.1769290724,231134.06079501164
253,2013-02-28,219162.12003117692,275031.1769290724
254,2013-03-31,241110.67809820728,219162.12003117692
255,2013-04-30,231134.06079501164,241110.67809820728
256,2013-05-31,231134.06079501164,231134.06079501164
257,2013-06-30,206192.51753702253,231134.06079501164
258,2013-07-31,198211.22369446617,206192.51753702253
259,2013-08-31,219162.12003117692,198211.22369446617
260,2013-09-30,208187.8409976617,219162.12003117692
261,2013-10-31,210183.1644583009,208187.8409976617
262,2013-11-30,251087.29540140287,210183.1644583009
263,2013-12-31,271539.360872954,251087.29540140287
264,2014-01-31,231134.06079501164,271539.360872954
265,2014-02-28,230136.3990646922,231134.06079501164
266,2014-03-31,221157.44349181608,230136.3990646922
267,2014-04-30,237120.03117692907,221157.44349181608
268,2014-05-31,226145.75214341385,237120.03117692907
269,2014-06-30,234625.87685113004,226145.75214341385
270,2014-07-31,246597.81761496485,234625.87685113004
271,2014-08-31,246098.9867498052,246597.81761496485
272,2014-09-30,216169.13484021815,246098.9867498052
273,2014-10-31,277026.50038971164,216169.13484021815
274,2014-11-30,266052.2213561964,277026.50038971164
275,2014-12-31,251087.29540140287,266052.2213561964
276,2015-01-31,240113.01636788773,251087.29540140287
277,2015-02-28,221157.44349181608,240113.01636788773
278,2015-03-31,225148.0904130943,221157.44349181608
279,2015-04-30,233129.38425565077,225148.0904130943
280,2015-05-31,258070.92751363985,233129.38425565077
281,2015-06-30,209185.50272798125,258070.92751363985
282,2015-07-31,236122.36944660952,209185.50272798125
283,2015-08-31,226145.75214341385,236122.36944660952
