,date,Auckland,lagged
220,2010-05-31,459999.9999999999,470000.0
221,2010-06-30,447999.9999999999,459999.9999999999
222,2010-07-31,449999.9999999999,447999.9999999999
223,2010-08-31,446999.9999999999,449999.9999999999
224,2010-09-30,449999.9999999999,446999.9999999999
225,2010-10-31,464999.9999999999,449999.9999999999
226,2010-11-30,479999.9999999999,464999.9999999999
227,2010-12-31,457999.9999999999,479999.9999999999
228,2011-01-31,449999.9999999999,457999.9999999999
229,2011-02-28,465554.9999999999,449999.9999999999
230,2011-03-31,475499.9999999999,465554.9999999999
231,2011-04-30,479999.9999999999,475499.9999999999
232,2011-05-31,467000.0,479999.9999999999
233,2011-06-30,463999.9999999999,467000.0
234,2011-07-31,467000.0,463999.9999999999
235,2011-08-31,457500.0,467000.0
236,2011-09-30,479999.9999999999,457500.0
237,2011-10-31,470000.0,479999.9999999999
238,2011-11-30,489999.9999999999,470000.0
239,2011-12-31,488199.9999999999,489999.9999999999
240,2012-01-31,470000.0,488199.9999999999
241,2012-02-29,470000.0,470000.0
242,2012-03-31,499000.0,470000.0
243,2012-04-30,496000.0,499000.0
244,2012-05-31,504999.99999999977,496000.0
245,2012-06-30,507500.0,504999.99999999977
246,2012-07-31,504999.99999999977,507500.0
247,2012-08-31,514999.9999999999,504999.99999999977
248,2012-09-30,519999.99999999977,514999.9999999999
249,2012-10-31,529999.9999999999,519999.99999999977
250,2012-11-30,545000.0,529999.9999999999
251,2012-12-31,542500.0,545000.0
252,2013-01-31,510000.0,542500.0
253,2013-02-28,545000.0,510000.0
254,2013-03-31,564999.9999999999,545000.0
255,2013-04-30,560000.0,564999.9999999999
256,2013-05-31,567999.9999999999,560000.0
257,2013-06-30,560000.0,567999.9999999999
258,2013-07-31,557000.0,560000.0
259,2013-08-31,570000.0,557000.0
260,2013-09-30,579999.9999999999,570000.0
261,2013-10-31,589999.9999999999,579999.9999999999
262,2013-11-30,626500.0,589999.9999999999
263,2013-12-31,608999.9999999999,626500.0
264,2014-01-31,570000.0,608999.9999999999
265,2014-02-28,609999.9999999999,570000.0
266,2014-03-31,644999.9999999999,609999.9999999999
267,2014-04-30,620000.0,644999.9999999999
268,2014-05-31,629999.9999999999,620000.0
269,2014-06-30,604999.9999999999,629999.9999999999
270,2014-07-31,620000.0,604999.9999999999
271,2014-08-31,620799.9999999999,620000.0
272,2014-09-30,620000.0,620799.9999999999
273,2014-10-31,650000.0,620000.0
274,2014-11-30,675999.9999999999,650000.0
275,2014-12-31,685000.0,675999.9999999999
276,2015-01-31,674999.9999999999,685000.0
277,2015-02-28,686999.9999999999,674999.9999999999
278,2015-03-31,729999.9999999999,686999.9999999999
279,2015-04-30,726999.9999999999,729999.9999999999
280,2015-05-31,759999.9999999999,726999.9999999999
281,2015-06-30,770000.0,759999.9999999999
282,2015-07-31,749999.9999999999,770000.0
283,2015-08-31,749999.9999999999,749999.9999999999
284,2015-09-30,781000.0,749999.9999999999
285,2015-10-31,759999.9999999999,781000.0
286,2015-11-30,785000.0,759999.9999999999
287,2015-12-31,778000.0,785000.0
288,2016-01-31,745000.0,778000.0
289,2016-02-29,770000.0,745000.0
290,2016-03-31,834999.9999999999,770000.0
291,2016-04-30,830000.0,834999.9999999999
292,2016-05-31,824000.0,830000.0
293,2016-06-30,830500.0,824000.0
294,2016-07-31,840499.9999999998,830500.0
295,2016-08-31,849999.9999999999,840499.9999999998
296,2016-09-30,849999.9999999999,849999.9999999999
297,2016-10-31,880000.0,849999.9999999999
298,2016-11-30,877999.9999999998,880000.0
299,2016-12-31,854999.9999999999,877999.9999999998
300,2017-01-31,830000.0,854999.9999999999
301,2017-02-28,826999.9999999999,830000.0
302,2017-03-31,899999.9999999999,826999.9999999999
303,2017-04-30,854999.9999999999,899999.9999999999
304,2017-05-31,862800.0,854999.9999999999
305,2017-06-30,855999.9999999999,862800.0
306,2017-07-31,835999.9999999999,855999.9999999999
307,2017-08-31,839999.9999999998,835999.9999999999
308,2017-09-30,849999.9999999999,839999.9999999998
309,2017-10-31,849999.9999999999,849999.9999999999
310,2017-11-30,880000.0,849999.9999999999
311,2017-12-31,860000.0,880000.0
312,2018-01-31,819999.9999999999,860000.0
313,2018-02-28,854999.9999999999,819999.9999999999
314,2018-03-31,880000.0,854999.9999999999
315,2018-04-30,849999.9999999999,880000.0
316,2018-05-31,849999.9999999999,849999.9999999999
317,2018-06-30,849999.9999999999,849999.9999999999
318,2018-07-31,830000.0,849999.9999999999
319,2018-08-31,849999.9999999999,830000.0
320,2018-09-30,852000.0,849999.9999999999
321,2018-10-31,861000.0,852000.0
322,2018-11-30,860000.0,861000.0
323,2018-12-31,860000.0,860000.0
324,2019-01-31,804999.9999999999,860000.0
325,2019-02-28,850999.9999999999,804999.9999999999
326,2019-03-31,854999.9999999999,850999.9999999999
327,2019-04-30,847000.0,854999.9999999999
328,2019-05-31,849999.9999999999,847000.0
329,2019-06-30,849999.9999999999,849999.9999999999
330,2019-07-31,825000.0,849999.9999999999
331,2019-08-31,818999.9999999998,825000.0
332,2019-09-30,847999.9999999999,818999.9999999998
333,2019-10-31,860000.0,847999.9999999999
334,2019-11-30,884999.9999999998,860000.0
335,2019-12-31,885999.9999999999,884999.9999999998
336,2020-01-31,869999.9999999999,885999.9999999999
