,date,Bay_of_Plenty,lagged
222,2010-07-31,340803.20366132725,331885.5835240274
223,2010-08-31,352693.3638443935,340803.20366132725
224,2010-09-30,330894.7368421053,352693.3638443935
225,2010-10-31,332876.4302059496,330894.7368421053
226,2010-11-30,350711.6704805492,332876.4302059496
227,2010-12-31,340803.20366132725,350711.6704805492
228,2011-01-31,335848.9702517162,340803.20366132725
229,2011-02-28,320986.2700228833,335848.9702517162
230,2011-03-31,335848.9702517162,320986.2700228833
231,2011-04-30,325940.50343249424,335848.9702517162
232,2011-05-31,345757.4370709382,325940.50343249424
233,2011-06-30,345757.4370709382,345757.4370709382
234,2011-07-31,330894.7368421053,345757.4370709382
235,2011-08-31,342041.76201373,330894.7368421053
236,2011-09-30,321977.1167048054,342041.76201373
237,2011-10-31,350711.6704805492,321977.1167048054
238,2011-11-30,334858.1235697941,350711.6704805492
239,2011-12-31,316032.03661327227,334858.1235697941
240,2012-01-31,335848.9702517162,316032.03661327227
241,2012-02-29,341794.05034324934,335848.9702517162
242,2012-03-31,340803.20366132725,341794.05034324934
243,2012-04-30,335848.9702517162,340803.20366132725
244,2012-05-31,334858.1235697941,335848.9702517162
245,2012-06-30,340307.78032036615,334858.1235697941
246,2012-07-31,330894.7368421053,340307.78032036615
247,2012-08-31,320986.2700228833,330894.7368421053
248,2012-09-30,330894.7368421053,320986.2700228833
249,2012-10-31,335848.9702517162,330894.7368421053
250,2012-11-30,337830.66361556074,335848.9702517162
251,2012-12-31,340803.20366132725,337830.66361556074
252,2013-01-31,330894.7368421053,340803.20366132725
253,2013-02-28,362601.8306636155,330894.7368421053
254,2013-03-31,338821.51029748283,362601.8306636155
255,2013-04-30,350711.6704805492,338821.51029748283
256,2013-05-31,357647.5972540047,350711.6704805492
257,2013-06-30,350711.6704805492,357647.5972540047
258,2013-07-31,335848.9702517162,350711.6704805492
259,2013-08-31,355665.90389016015,335848.9702517162
260,2013-09-30,340803.20366132725,355665.90389016015
261,2013-10-31,364831.23569794046,340803.20366132725
262,2013-11-30,370528.6041189932,364831.23569794046
263,2013-12-31,374491.990846682,370528.6041189932
264,2014-01-31,374491.990846682,374491.990846682
265,2014-02-28,390345.5377574371,374491.990846682
266,2014-03-31,379446.2242562929,390345.5377574371
267,2014-04-30,399758.581235698,379446.2242562929
268,2014-05-31,370033.18077803205,399758.581235698
269,2014-06-30,385391.30434782605,370033.18077803205
270,2014-07-31,375482.8375286041,385391.30434782605
271,2014-08-31,365574.3707093821,375482.8375286041
272,2014-09-30,379446.2242562929,365574.3707093821
273,2014-10-31,376473.6842105263,379446.2242562929
274,2014-11-30,393318.0778032036,376473.6842105263
275,2014-12-31,395299.771167048,393318.0778032036
276,2015-01-31,384400.457665904,395299.771167048
277,2015-02-28,390345.5377574371,384400.457665904
278,2015-03-31,410162.4713958809,390345.5377574371
279,2015-04-30,390345.5377574371,410162.4713958809
280,2015-05-31,405208.23798627,390345.5377574371
281,2015-06-30,395299.771167048,405208.23798627
282,2015-07-31,408676.2013729977,395299.771167048
283,2015-08-31,390345.5377574371,408676.2013729977
284,2015-09-30,447814.64530892455,390345.5377574371
285,2015-10-31,425025.1716247139,447814.64530892455
286,2015-11-30,434933.6384439359,425025.1716247139
287,2015-12-31,449796.33867276896,434933.6384439359
288,2016-01-31,434933.6384439359,449796.33867276896
289,2016-02-29,454750.57208238,434933.6384439359
290,2016-03-31,461686.4988558352,454750.57208238
291,2016-04-30,464659.0389016019,461686.4988558352
292,2016-05-31,499338.6727688788,464659.0389016019
